member,pagerank,betweenness,degree,closeness
33,0.09698041880501741,0.30407497594997596,0.5151515151515151,0.55
0,0.08850807396280012,0.43763528138528146,0.48484848484848486,0.5689655172413793
32,0.07592643687005646,0.145247113997114,0.36363636363636365,0.515625
2,0.06276686454603017,0.14365680615680618,0.30303030303030304,0.559322033898305
1,0.057414840497110056,0.053936688311688304,0.2727272727272727,0.4852941176470588
31,0.04198548926127872,0.13827561327561325,0.18181818181818182,0.5409836065573771
23,0.04114596964602211,0.017613636363636363,0.15151515151515152,0.39285714285714285
3,0.03721208153631377,0.011909271284271283,0.18181818181818182,0.4647887323943662
5,0.03381044255357727,0.02998737373737374,0.12121212121212122,0.38372093023255816
13,0.033474187085322404,0.04586339586339586,0.15151515151515152,0.515625
8,0.03338155566846444,0.05592682780182781,0.15151515151515152,0.515625
6,0.03152901134345504,0.029987373737373736,0.12121212121212122,0.38372093023255816
25,0.028672962013730707,0.0038404882154882154,0.09090909090909091,0.375
29,0.028271813832825125,0.0029220779220779218,0.12121212121212122,0.38372093023255816
27,0.027235358397633882,0.02233345358345358,0.12121212121212122,0.4583333333333333
7,0.026464618678806107,0.0,0.12121212121212122,0.44
30,0.02303184425091186,0.014411976911976909,0.12121212121212122,0.4583333333333333
10,0.020689016083505596,0.0006313131313131313,0.09090909090909091,0.3793103448275862
4,0.020503977347501652,0.0006313131313131313,0.09090909090909091,0.3793103448275862
16,0.016755401561857987,0.0,0.06060606060606061,0.28448275862068967
24,0.01663437445025268,0.0022095959595959595,0.09090909090909091,0.375
15,0.01637633262359366,0.0,0.06060606060606061,0.3707865168539326
26,0.015240392773380823,0.0,0.06060606060606061,0.3626373626373626
28,0.01447852177427162,0.0017947330447330447,0.09090909090909091,0.4520547945205479
19,0.013077518431081969,0.03247504810004811,0.09090909090909091,0.5
22,0.01296059860686279,0.0,0.06060606060606061,0.3707865168539326
14,0.012941600888556285,0.0,0.06060606060606061,0.3707865168539326
12,0.011474872305945287,0.0,0.06060606060606061,0.3707865168539326
21,0.01136015256356328,0.0,0.06060606060606061,0.375
20,0.011224235021037596,0.0,0.06060606060606061,0.3707865168539326
11,0.009785686547904305,0.0,0.030303030303030304,0.36666666666666664
17,0.009677265915396801,0.0,0.06060606060606061,0.375
18,0.009544864590131914,0.0,0.06060606060606061,0.3707865168539326
9,0.009463219565799959,0.0008477633477633478,0.06060606060606061,0.4342105263157895
